id,orderId,createDate,storeId,status,orderStatus,partNumber,catalogEntryId,catalogEntryName,personTitle,firstName,lastName,email1,phone1,address1,address2,city,state,country,zipCode,adjustmentSum,allocatedFulfillmentCenterId,allocatedQuantity,comment,currency,description,displayAdjustment,estimatedAvailableDate,fulfillmentCenterId,fulfillmentStatus,inventoryStatus,isExpedited,lastAllocatedUpdatedDate,neededQuantity,orderReleaseNumber,price,promisedAvailableDate,promisedShippingDate,quantity,releasedDate,requestedShipDate,shipmentTrackingNumber,shippedDate,shippingCharge,shippingModeDescription,shippingModeId,shippingOffset,shippingTaxAmount,totalAdjustment,totalProduct,totalShippingCharge,updateDate
10001,2838802,2022-06-17T08:23:06.717000000Z,31,S,S,MPHFU032_322001,14508,Stonehenge Lodraw Chest of drawer,,pp,pp,pb@hcl.com,98979876,pp,pp,p,MH,India,411256,-25,18001,1,,USD,,,2022-06-17T08:24:17.751000000Z,18001,SHIP,FUL,N,2022-06-17T08:24:17.751000000Z,1,1,300,,,1,2022-06-17T08:25:13.569000000Z,,1232,2022-06-23T18:30:00.000000000Z,,Mail,20501,86400,,-25,300,,2022-06-17T08:25:52.569000000Z
10002,3478169,2022-06-17T08:46:10.407000000Z,31,X,M,HBA031_310101,14502,Klaus Silver Towel Rack,,pp,pp,pb@hcl.com,98979876,pp,pp,p,MH,India,411256,-4.2,18001,,,USD,,,2022-06-17T08:46:43.823000000Z,18001,INT,NALC,N,2022-06-17T09:09:04.629000000Z,1,,42,,,1,,,,,,Mail,20501,86400,,-4.2,42,,2022-06-17T09:09:04.629000000Z
10003,4916719,2022-06-17T08:46:54.700000000Z,31,X,M,MPHFU032_322001,14508,Stonehenge Lodraw Chest of drawer,,pp,pp,pb@hcl.com,98979876,pp,pp,p,MH,India,411256,-5,18001,,,USD,,,2022-06-17T08:47:22.784000000Z,18001,INT,NALC,N,2022-06-17T09:09:04.587000000Z,1,,300,,,1,,,,,,Mail,20501,86400,,-5,300,,2022-06-17T09:09:04.587000000Z
10004,6040713,2022-06-17T08:47:32.955000000Z,31,X,M,MPHFU032_322001,14508,Stonehenge Lodraw Chest of drawer,,pp,pp,pb@hcl.com,98979876,pp,pp,p,MH,India,411256,,18001,,,USD,,,2022-06-17T08:48:14.360000000Z,18001,INT,NALC,N,2022-06-17T09:09:31.734000000Z,1,,300,,,1,,,,,,Mail,20501,86400,,,300,,2022-06-17T09:09:31.734000000Z
10005,6040713,2022-06-17T08:47:41.588000000Z,31,X,M,HBA031_310101,14502,Klaus Silver Towel Rack,,pp,pp,pb@hcl.com,98979876,pp,pp,p,MH,,411256,,18001,,,USD,,,2022-06-17T08:48:14.356000000Z,18001,INT,NALC,N,2022-06-17T09:09:31.757000000Z,1,,42,,,1,,,,,,Mail,20501,86400,,,42,,2022-06-17T09:09:31.757000000Z
10006,7147918,2022-06-17T09:10:18.462000000Z,31,X,R,MPHFU032_322001,14508,Stonehenge Lodraw Chest of drawer,,pp,,pb@hcl.com,98979876,pp,pp,,MH,India,411256,,18001,1,,USD,,,2022-06-17T09:11:12.386000000Z,18001,OUT,FUL,N,2022-06-17T09:11:12.386000000Z,1,1,300,,,1,2022-06-17T09:19:40.816000000Z,,,,,Mail,20501,86400,,,300,,2022-06-17T09:56:11.011000000Z
10007,8192345,2022-06-17T09:11:23.556000000Z,31,X,R,HBA031_310101,14502,Klaus Silver Towel Rack,,pp,pp,pb@hcl.com,98979876,pp,pp,p,MH,India,411256,,18001,1,,USD,,,2022-06-17T09:12:31.279000000Z,18001,OUT,FUL,N,2022-06-17T09:12:31.279000000Z,1,1,42,,,1,2022-06-17T09:19:40.978000000Z,,,,,Mail,20501,86400,,,42,,2022-06-17T09:56:11.037000000Z
10008,8926686,2022-06-17T09:17:34.177000000Z,31,S,S,MPHFU032_322001,14508,Stonehenge Lodraw Chest of drawer,,pp,pp,pb@hcl.com,98979876,pp,pp,p,MH,India,411256,,18001,1,,USD,,,2022-06-17T09:17:58.957000000Z,18001,SHIP,FUL,N,2022-06-17T09:17:58.957000000Z,1,1,300,,,1,2022-06-17T09:19:41.098000000Z,,77575,2022-06-22T11:35:00.000000000Z,,Mail,20501,86400,,,300,,2022-06-17T10:01:27.881000000Z
10009,9578307,2022-06-17T09:31:07.194000000Z,31,S,R,HBA031_310101,14502,Klaus Silver Towel Rack,,pp,pp,pb@hcl.com,98979876,pp,pp,p,MH,India,411256,,18001,1,,USD,,,2022-06-17T09:31:34.079000000Z,18001,OUT,FUL,N,2022-06-17T09:31:34.079000000Z,1,1,42,,,1,2022-06-17T09:53:46.483000000Z,,755757,2022-06-23T18:30:00.000000000Z,,Mail,20501,86400,,,42,,2022-06-17T09:53:46.483000000Z
10010,10890353,2022-06-17T10:10:08.107000000Z,31,M,M,MPHFU032_322001,14508,Stonehenge Lodraw Chest of drawer,,pp,pp,pb@hcl.com,98979876,pp,pp,p,MH,India,411256,,18001,1,,USD,,,2022-06-17T10:10:45.087000000Z,18001,INT,ALLC,N,2022-06-17T10:10:45.087000000Z,1,,300,,,1,,,,,,Mail,20501,86400,,,300,,2022-06-17T10:10:45.160000000Z
